"Statistic Label","Quarter","Domestic","Reason for Journey","UNIT","VALUE"
"Number of Trips by Irish Residents","2005Q3","Domestic","Other reasons","Thousand","271"
"Number of Trips by Irish Residents","2005Q3","Outbound","All reasons for journey","Thousand","1961"
"Number of Trips by Irish Residents","2005Q3","Outbound","Holiday","Thousand","1419"
"Number of Trips by Irish Residents","2005Q3","Outbound","Business","Thousand","169"
"Number of Trips by Irish Residents","2005Q3","Outbound","Visiting friends/relatives","Thousand","270"
"Number of Trips by Irish Residents","2005Q3","Outbound","Other reasons","Thousand","103"
"Number of Trips by Irish Residents","2005Q4","Domestic","All reasons for journey","Thousand","1678"
"Number of Trips by Irish Residents","2005Q4","Domestic","Holiday","Thousand","660"
"Number of Trips by Irish Residents","2005Q4","Domestic","Business","Thousand","238"
"Number of Trips by Irish Residents","2005Q4","Domestic","Visiting friends/relatives","Thousand","690"
"Number of Trips by Irish Residents","2005Q4","Domestic","Other reasons","Thousand","90"
"Number of Trips by Irish Residents","2005Q4","Outbound","All reasons for journey","Thousand","1355"
"Number of Trips by Irish Residents","2005Q4","Outbound","Holiday","Thousand","722"
"Number of Trips by Irish Residents","2005Q4","Outbound","Business","Thousand","224"
"Number of Trips by Irish Residents","2005Q4","Outbound","Visiting friends/relatives","Thousand","369"
"Number of Trips by Irish Residents","2005Q4","Outbound","Other reasons","Thousand","41"
"Number of Trips by Irish Residents","2006Q1","Domestic","All reasons for journey","Thousand","1457"
"Number of Trips by Irish Residents","2006Q1","Domestic","Holiday","Thousand","691"
"Number of Trips by Irish Residents","2006Q1","Domestic","Business","Thousand","191"
"Number of Trips by Irish Residents","2006Q1","Domestic","Visiting friends/relatives","Thousand","493"
"Number of Trips by Irish Residents","2006Q1","Domestic","Other reasons","Thousand","82"
"Number of Trips by Irish Residents","2006Q1","Outbound","All reasons for journey","Thousand","1397"
"Number of Trips by Irish Residents","2006Q1","Outbound","Holiday","Thousand","842"
"Number of Trips by Irish Residents","2006Q1","Outbound","Business","Thousand","212"
"Number of Trips by Irish Residents","2006Q1","Outbound","Visiting friends/relatives","Thousand","287"
"Number of Trips by Irish Residents","2006Q1","Outbound","Other reasons","Thousand","56"
"Number of Trips by Irish Residents","2006Q2","Domestic","All reasons for journey","Thousand","1721"
"Number of Trips by Irish Residents","2006Q2","Domestic","Holiday","Thousand","816"
"Number of Trips by Irish Residents","2006Q2","Domestic","Business","Thousand","255"
"Number of Trips by Irish Residents","2006Q2","Domestic","Visiting friends/relatives","Thousand","530"
"Number of Trips by Irish Residents","2006Q2","Domestic","Other reasons","Thousand","121"
"Number of Trips by Irish Residents","2006Q2","Outbound","All reasons for journey","Thousand","1850"
"Number of Trips by Irish Residents","2006Q2","Outbound","Holiday","Thousand","1243"
"Number of Trips by Irish Residents","2006Q2","Outbound","Business","Thousand","234"
"Number of Trips by Irish Residents","2006Q2","Outbound","Visiting friends/relatives","Thousand","314"
"Number of Trips by Irish Residents","2006Q2","Outbound","Other reasons","Thousand","59"
"Number of Trips by Irish Residents","2006Q3","Domestic","All reasons for journey","Thousand","2301"
"Number of Trips by Irish Residents","2006Q3","Domestic","Holiday","Thousand","1527"
"Number of Trips by Irish Residents","2006Q3","Domestic","Business","Thousand","513"
"Number of Trips by Irish Residents","2006Q3","Domestic","Visiting friends/relatives","Thousand","121"
"Number of Trips by Irish Residents","2006Q3","Domestic","Other reasons","Thousand","141"
"Number of Trips by Irish Residents","2006Q3","Outbound","All reasons for journey","Thousand","2174"
"Number of Trips by Irish Residents","2006Q3","Outbound","Holiday","Thousand","1594"
"Number of Trips by Irish Residents","2006Q3","Outbound","Business","Thousand","339"
"Number of Trips by Irish Residents","2006Q3","Outbound","Visiting friends/relatives","Thousand","159"
"Number of Trips by Irish Residents","2006Q3","Outbound","Other reasons","Thousand","83"
"Number of Trips by Irish Residents","2006Q4","Domestic","All reasons for journey","Thousand","1831"
"Number of Trips by Irish Residents","2006Q4","Domestic","Holiday","Thousand","793"
"Number of Trips by Irish Residents","2006Q4","Domestic","Business","Thousand","195"
"Number of Trips by Irish Residents","2006Q4","Domestic","Visiting friends/relatives","Thousand","718"
"Number of Trips by Irish Residents","2006Q4","Domestic","Other reasons","Thousand","124"
"Number of Trips by Irish Residents","2006Q4","Outbound","All reasons for journey","Thousand","1560"
"Number of Trips by Irish Residents","2006Q4","Outbound","Holiday","Thousand","934"
"Number of Trips by Irish Residents","2006Q4","Outbound","Business","Thousand","178"
"Number of Trips by Irish Residents","2006Q4","Outbound","Visiting friends/relatives","Thousand","377"
"Number of Trips by Irish Residents","2006Q4","Outbound","Other reasons","Thousand","71"
"Number of Trips by Irish Residents","2007Q1","Domestic","All reasons for journey","Thousand","1579"
"Number of Trips by Irish Residents","2007Q1","Domestic","Holiday","Thousand","769"
"Number of Trips by Irish Residents","2007Q1","Domestic","Business","Thousand","174"
"Number of Trips by Irish Residents","2007Q1","Domestic","Visiting friends/relatives","Thousand","526"
"Number of Trips by Irish Residents","2007Q1","Domestic","Other reasons","Thousand","111"
"Number of Trips by Irish Residents","2007Q1","Outbound","All reasons for journey","Thousand","1580"
"Number of Trips by Irish Residents","2007Q1","Outbound","Holiday","Thousand","1026"
"Number of Trips by Irish Residents","2007Q1","Outbound","Business","Thousand","202"
"Number of Trips by Irish Residents","2007Q1","Outbound","Visiting friends/relatives","Thousand","298"
"Number of Trips by Irish Residents","2007Q1","Outbound","Other reasons","Thousand","54"
"Number of Trips by Irish Residents","2007Q2","Domestic","All reasons for journey","Thousand","1983"
"Number of Trips by Irish Residents","2007Q2","Domestic","Holiday","Thousand","1074"
"Number of Trips by Irish Residents","2007Q2","Domestic","Business","Thousand","194"
"Number of Trips by Irish Residents","2007Q2","Domestic","Visiting friends/relatives","Thousand","598"
"Number of Trips by Irish Residents","2007Q2","Domestic","Other reasons","Thousand","117"
"Number of Trips by Irish Residents","2007Q2","Outbound","All reasons for journey","Thousand","2073"
"Number of Trips by Irish Residents","2007Q2","Outbound","Holiday","Thousand","1486"
"Number of Trips by Irish Residents","2007Q2","Outbound","Business","Thousand","184"
"Number of Trips by Irish Residents","2007Q2","Outbound","Visiting friends/relatives","Thousand","308"
"Number of Trips by Irish Residents","2007Q2","Outbound","Other reasons","Thousand","95"
"Number of Trips by Irish Residents","2007Q3","Domestic","All reasons for journey","Thousand","2448"
"Number of Trips by Irish Residents","2007Q3","Domestic","Holiday","Thousand","1577"
"Number of Trips by Irish Residents","2007Q3","Domestic","Business","Thousand","113"
"Number of Trips by Irish Residents","2007Q3","Domestic","Visiting friends/relatives","Thousand","590"
"Number of Trips by Irish Residents","2007Q3","Domestic","Other reasons","Thousand","168"
"Number of Trips by Irish Residents","2007Q3","Outbound","All reasons for journey","Thousand","2387"
"Number of Trips by Irish Residents","2007Q3","Outbound","Holiday","Thousand","1809"
"Number of Trips by Irish Residents","2007Q3","Outbound","Business","Thousand","142"
"Number of Trips by Irish Residents","2007Q3","Outbound","Visiting friends/relatives","Thousand","348"
"Number of Trips by Irish Residents","2007Q3","Outbound","Other reasons","Thousand","88"
"Number of Trips by Irish Residents","2007Q4","Domestic","All reasons for journey","Thousand","1932"
"Number of Trips by Irish Residents","2007Q4","Domestic","Holiday","Thousand","850"
"Number of Trips by Irish Residents","2007Q4","Domestic","Business","Thousand","230"
"Number of Trips by Irish Residents","2007Q4","Domestic","Visiting friends/relatives","Thousand","706"
"Number of Trips by Irish Residents","2007Q4","Domestic","Other reasons","Thousand","146"
"Number of Trips by Irish Residents","2007Q4","Outbound","All reasons for journey","Thousand","1790"
"Number of Trips by Irish Residents","2007Q4","Outbound","Holiday","Thousand","1127"
"Number of Trips by Irish Residents","2007Q4","Outbound","Business","Thousand","195"
"Number of Trips by Irish Residents","2007Q4","Outbound","Visiting friends/relatives","Thousand","401"
"Number of Trips by Irish Residents","2007Q4","Outbound","Other reasons","Thousand","67"
"Number of Trips by Irish Residents","2008Q1","Domestic","All reasons for journey","Thousand","1851"
"Number of Trips by Irish Residents","2008Q1","Domestic","Holiday","Thousand","890"
"Number of Trips by Irish Residents","2008Q1","Domestic","Business","Thousand","194"
"Number of Trips by Irish Residents","2008Q1","Domestic","Visiting friends/relatives","Thousand","649"
"Number of Trips by Irish Residents","2008Q1","Domestic","Other reasons","Thousand","118"
"Number of Trips by Irish Residents","2008Q1","Outbound","All reasons for journey","Thousand","1800"
"Number of Trips by Irish Residents","2008Q1","Outbound","Holiday","Thousand","1218"
"Number of Trips by Irish Residents","2008Q1","Outbound","Business","Thousand","192"
"Number of Trips by Irish Residents","2008Q1","Outbound","Visiting friends/relatives","Thousand","321"
"Number of Trips by Irish Residents","2008Q1","Outbound","Other reasons","Thousand","69"
"Number of Trips by Irish Residents","2008Q2","Domestic","All reasons for journey","Thousand","1867"
"Number of Trips by Irish Residents","2008Q2","Domestic","Holiday","Thousand","1021"
"Number of Trips by Irish Residents","2008Q2","Domestic","Business","Thousand","152"
